Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Chevrolet,Urban,Mar,2,Male,Single,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision
Honda,Urban,Jan,4,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Ford,Urban,Jan,4,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Chevrolet,Urban,Oct,2,Male,Single,34,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
Honda,Urban,Oct,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Mazda,Urban,Sep,3,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Nov,4,Male,Married,55,Policy Holder,Sport - Collision,Sport,more than 69000,0,12,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Jan,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Chevrolet,Urban,Apr,1,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,Mar,4,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,All Perils
Toyota,Urban,Jul,1,Female,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,4,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,Liability
Honda,Urban,Jan,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision
Toyota,Urban,Jan,4,Male,Married,72,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Feb,2,Female,Married,29,Third Party,Sedan - All Perils,Sedan,less than 20000,0,8,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Feb,3,Male,Single,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,Collision
Mazda,Urban,Nov,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13,400,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Chevrolet,Urban,May,1,Female,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,0,10,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability
Pontiac,Urban,Apr,3,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Collision
Pontiac,Urban,May,4,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Jun,4,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4,500,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,Liability
Honda,Rural,Jan,4,Male,Married,21,Policy Holder,Sport - Collision,Sport,more than 69000,1,4,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,Collision
Honda,Urban,Aug,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,13,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision
Pontiac,Urban,Jun,4,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision
Mazda,Urban,Dec,3,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils
Honda,Urban,Jun,5,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Accura,Urban,Nov,2,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Honda,Rural,May,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,15,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability
Chevrolet,Urban,May,2,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Toyota,Urban,Nov,3,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,5,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Jan,4,Male,Married,49,Policy Holder,Utility - Collision,Utility,40000 to 59000,0,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,3,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,3,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Urban,Mar,1,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability
Pontiac,Urban,Dec,2,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Mazda,Urban,Jan,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Mercury,Urban,Mar,3,Male,Single,40,Third Party,Sedan - Collision,Sedan,more than 69000,0,16,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Mazda,Urban,Aug,5,Male,Married,65,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability
Toyota,Urban,Jan,1,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,1,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability
Honda,Urban,Jan,1,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision
Mazda,Urban,Jan,1,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Chevrolet,Urban,Jan,5,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5,400,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,1,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision
Mazda,Urban,May,1,Male,Married,60,Third Party,Sedan - Collision,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision
Ford,Urban,Aug,4,Male,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Chevrolet,Urban,Jan,1,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Feb,3,Female,Married,47,Third Party,Sport - Collision,Sport,more than 69000,0,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Jaguar,Rural,Feb,3,Female,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,16,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability
Toyota,Urban,Mar,1,Female,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,Jan,3,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Mazda,Urban,Jan,4,Male,Single,37,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Chevrolet,Urban,Apr,3,Male,Married,36,Third Party,Sedan - All Perils,Sedan,more than 69000,0,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,All Perils
Toyota,Urban,Feb,1,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability
Honda,Urban,Jan,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,Liability
Chevrolet,Rural,Mar,1,Male,Married,27,Policy Holder,Utility - Liability,Utility,more than 69000,0,4,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
Toyota,Urban,May,4,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Mazda,Urban,May,4,Male,Single,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils
Pontiac,Urban,Oct,5,Male,Married,74,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,13,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,All Perils
Honda,Urban,Oct,4,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Oct,4,Female,Single,25,Third Party,Sport - Collision,Sport,more than 69000,0,2,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,Jan,2,Male,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,Liability
Honda,Urban,Jan,4,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Aug,5,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Jan,3,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,1,7,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision
Honda,Urban,May,2,Male,Married,61,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,15,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision
Toyota,Urban,Jan,1,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Jan,4,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Jan,4,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Jan,5,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Chevrolet,Urban,Jan,2,Male,Married,31,Policy Holder,Utility - All Perils,Utility,more than 69000,1,2,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils
Pontiac,Urban,Jan,5,Female,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Ford,Urban,Feb,1,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,14,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,All Perils
Mazda,Urban,Jan,2,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils
Pontiac,Urban,Jan,1,Male,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils
Dodge,Urban,Dec,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,Liability
Mazda,Urban,Aug,1,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Apr,2,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Chevrolet,Urban,Oct,4,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Mar,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Sep,1,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,May,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Dec,5,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Accura,Rural,Jan,2,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,1,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils
Chevrolet,Urban,Jan,1,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Jan,2,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,0,2,400,1,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,Collision
Pontiac,Urban,Nov,5,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,Aug,5,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability
Mazda,Urban,Dec,1,Male,Single,68,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,9,400,3,more than 30,more than 30,2 to 4,5 years,over 65,No,No,External,none,no change,1 vehicle,All Perils
Honda,Rural,Dec,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,7,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils
Honda,Rural,Mar,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils
Honda,Rural,Oct,3,Female,Married,18,Third Party,Sport - Collision,Sport,more than 69000,0,12,400,4,more than 30,more than 30,none,2 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,Collision
Pontiac,Urban,Jun,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Honda,Urban,Apr,4,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,Collision
Toyota,Urban,Feb,2,Male,Single,22,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,6,400,3,more than 30,more than 30,none,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,All Perils
Pontiac,Urban,Feb,2,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
Dodge,Urban,Mar,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,15,400,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,Collision
